URL,Size,Threads,KeepAlive,Real,User,System
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,9.16,0.02,0.10
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,7.02,0.02,0.11
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,5.87,0.02,0.10
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.44,0.03,0.09
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,1,6.72,0.02,0.11
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,7.99,0.04,0.13
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,5.05,0.03,0.13
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,5.49,0.03,0.14
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,5.51,0.02,0.14
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,5.63,0.04,0.13
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.78,0.04,0.13
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.22,0.02,0.14
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.86,0.03,0.13
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,6.00,0.02,0.14
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,1,5.95,0.03,0.13
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,9.79,0.03,0.46
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.22,0.05,0.53
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.25,0.06,0.52
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.02,0.06,0.50
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,6.87,0.06,0.49
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1,7.18,0.05,0.51
