[centos@ip-172-31-42-148 data]$ ./threads_download.sh https://s3.amazonaws.com/opendap.test/MVI_1803.MOV 10 stuff
URL,Size,Threads,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.61,0.05,0.23
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.30,0.04,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.27,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.21,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.24,0.04,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.28,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.21,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.42,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.32,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.23,0.08,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.24,0.07,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.24,0.08,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.25,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.72,0.07,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.35,0.08,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.33,0.08,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.27,0.07,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.32,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.27,0.12,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.28,0.11,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.31,0.10,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.26,0.11,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.29,0.11,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.26,0.12,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.26,0.12,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.31,0.12,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.26,0.12,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.26,0.11,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.43,0.32,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.42,0.33,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.68,0.32,0.11
